Name,Latitude,Longitude,State,Country,Operational Status
San Clemente IS NALF,32.9001520087,-118.485233843,California,United States,Active
Long Beach Fuel Complex,33.7420222138,-118.233407436,California,United States,Active
Shaw AFB,33.9748590703,-80.4704194269,South Carolina,United States,Active
Fort A P Hill,38.1180327475,-77.2759052325,Virginia,United States,Active
Tobyhanna Army Depot,41.1975381899,-75.4291099943,Pennsylvania,United States,Active
MCAS Yuma,32.6453966733,-114.602240833,Arizona,United States,Active
NNSY St Helena,36.8255463263,-76.289264919,Virginia,United States,Active
Cheatham Annex,37.2849658658,-76.6194826812,Virginia,United States,Active
JEBLCFS Wallops Island VA,37.8861451185,-75.4686379534,Virginia,United States,Active
GL Camp JPJ,42.3003113359,-87.8539702937,Illinois,United States,Active
NAS Pensacola FL,30.3527067706,-87.3063356676,Florida,United States,Active
Corry Station,30.4028604162,-87.2900851792,Florida,United States,Active
Clear Air Force Station,64.2881605755,-149.190714695,Alaska,United States,Active
